"GRUPA";"DENUMIRE";"NACE";"DIVIZIUNE"
"011";"Cultivarea plantelor nepermanente";;"01"
"012";"Cultivarea plantelor permanente";;"01"
"013";"Cultivarea plantelor pentru înmulţire";;"01"
"014";"Creşterea animalelor";;"01"
"015";"Activităţi în ferme mixte (cultura vegetală combinată cu creşterea animalelor)";;"01"
"016";"Activităţi auxiliare agriculturii şi activităţi după recoltare";;"01"
"017";"Vânătoare, capturarea cu capcane a vânatului şi activităţi de servicii anexe vânătorii";;"01"
"021";"Silvicultură şi alte activităţi forestiere";;"02"
"022";"Exploatarea forestieră";;"02"
"023";"Colectarea produselor forestiere nelemnoase din flora spontană";;"02"
"024";"Activităţi de servicii anexe silviculturii";;"02"
"031";"Pescuitul";;"03"
"032";"Acvacultura";;"03"
"051";"Extracţia cărbunelui superior (PCS=>23865 kJ/kg)";;"05"
"052";"Extracţia cărbunelui inferior (PCS<23865 kJ/kg)";;"05"
"061";"Extracţia petrolului brut";;"06"
"062";"Extracţia gazelor naturale";;"06"
"071";"Extracţia minereurilor feroase";;"07"
"072";"Extracţia minereurilor metalifere neferoase";;"07"
"081";"Extracţia pietrei, nisipului şi argilei";;"08"
"089";"Alte activităţi extractive n.c.a.";;"08"
"091";"Activităţi de servicii anexe extracţiei petrolului brut şi gazelor naturale";;"09"
"099";"Activităţi de servicii anexe pentru extracţia mineralelor";;"09"
"101";"Producţia, prelucrarea şi conservarea cărnii şi a produselor din carne";;"10"
"102";"Prelucrarea şi conservarea peştelui, crustaceelor şi moluştelor";;"10"
"103";"Prelucrarea şi conservarea fructelor şi legumelor";;"10"
"104";"Fabricarea uleiurilor şi a grăsimilor vegetale şi animale";;"10"
"105";"Fabricarea produselor lactate";;"10"
"106";"Fabricarea produselor de morărit, a amidonului şi produsele din amidon";;"10"
"107";"Fabricarea produselor de brutărie şi a produselor făinoase";;"10"
"108";"Fabricarea altor produse alimentare";;"10"
"109";"Fabricarea preparatelor pentru hrana animalelor";;"10"
"110";"Fabricarea băuturilor";;"11"
"120";"Fabricarea produselor din tutun";;"12"
"131";"Pregătirea fibrelor şi filarea fibrelor textile";;"13"
"132";"Producţia de ţesături";;"13"
"133";"Finisarea materialelor textile";;"13"
"139";"Fabricarea altor articole textile";;"13"
"141";"Fabricarea articolelor de îmbrăcăminte, cu excepţia articolelor din blană";;"14"
"142";"Fabricarea articolelor din blană";;"14"
"143";"Fabricarea articolelor de îmbrăcăminte prin tricotare sau croşetare";;"14"
"151";"Tăbăcirea şi finisarea pieilor, fabricarea articolelor de voiaj şi marochinărie şi a articolelor de harnaşament; prepararea şi vopsirea blănurilor";;"15"
"152";"Fabricarea încălţămintei";;"15"
"161";"Tăierea şi rindeluirea lemnului";;"16"
"162";"Fabricarea produselor din lemn, plută, paie şi din alte materiale vegetale";;"16"
"171";"Fabricarea celulozei, hârtiei şi cartonului";;"17"
"172";"Fabricarea articolelor din hârtie şi carton";;"17"
"181";"Tipărire şi activităţi de servicii conexe tipăririi";;"18"
"182";"Reproducerea înregistrărilor";;"18"
"191";"Fabricarea produselor de cocserie";;"19"
"192";"Fabricarea produselor obţinute din prelucrarea ţiţeiului";;"19"
"201";"Fabricarea produselor chimice de bază, a îngrăşămintelor şi produselor azotoase; fabricarea materialelor plastice şi a cauciucului sintetic, în forme primare";;"20"
"202";"Fabricarea pesticidelor şi a altor produse agrochimice";;"20"
"203";"Fabricarea vopselelor, lacurilor, cernelii tipografice şi masticurilor";;"20"
"204";"Fabricarea săpunurilor, detergenţilor şi a produselor de întreţinere, cosmetice şi de parfumerie";;"20"
"205";"Fabricarea altor produse chimice";;"20"
"206";"Fabricarea fibrelor sintetice şi artificiale";;"20"
"211";"Fabricarea produselor farmaceutice de bază";;"21"
"212";"Fabricarea preparatelor farmaceutice";;"21"
"221";"Fabricarea articolelor din cauciuc";;"21"
"222";"Fabricarea articolelor din material plastic";;"22"
"231";"Fabricarea sticlei şi a articolelor din sticlă";;"23"
"232";"Fabricarea de produse refractare";;"23"
"233";"Fabricarea materialelor de construcţii din argilă";;"23"
"234";"Fabricarea altor articole din ceramică şi porţelan";;"23"
"235";"Fabricarea cimentului, varului şi ipsosului";;"23"
"236";"Fabricarea articolelor din beton, ciment şi ipsos";;"23"
"237";"Tăierea, fasonarea şi finisarea pietrei";;"23"
"239";"Fabricarea altor produse din minerale nemetalice";;"23"
"241";"Producţia de metale feroase sub forme primare şi de feroaliaje";;"24"
"242";"Producţia de tuburi, ţevi, profiluri tubulare şi accesorii pentru acestea, din oţel";;"24"
"243";"Fabricarea altor produse prin  prelucrarea primară a oţelului";;"24"
"244";"Producţia metalelor preţioase şi a altor metale neferoase";;"24"
"245";"Turnarea metalelor";;"24"
"251";"Fabricarea de construcţii metalice";;"25"
"252";"Producţia de rezervoare, cisterne şi containere metalice; producţia de radiatoare şi cazane pentru încălzirea centrală";;"25"
"253";"Producţia generatoarelor de aburi (cu excepţia cazanelor pentru încălzire centrală)";;"25"
"254";"Fabricarea armamentului şi muniţiei";;"25"
"255";"Fabricarea produselor metalice obţinute prin deformare plastică; metalurgia pulberilor";;"25"
"256";"Tratarea şi acoperirea metalelor; operaţiuni de mecanică generală pe bază de plată sau contract";;"25"
"257";"Producţia de unelte şi articole de fierărie";;"25"
"259";"Fabricarea altor produse prelucrate din metal";;"25"
"261";"Fabricarea componentelor electronice";;"26"
"262";"Fabricarea calculatoarelor şi a echipamentelor periferice";;"26"
"263";"Fabricarea echipamentelor de comunicaţii";;"26"
"264";"Fabricarea produselor electronice de larg consum";;"26"
"265";"Fabricarea de echipamente de măsură, verificare, control şi navigaţie";;"26"
"266";"Fabricarea de echipamente pentru radiologie, electrodiagnostic şi electroterapie";;"26"
"267";"Fabricarea de instrumente optice şi echipamente fotografice";;"26"
"268";"Fabricarea suporturilor magnetice şi optice destinate înregistrărilor";;"26"
"271";"Fabricarea motoarelor electrice, generatoarelor şi transformatoarelor electrice şi a aparatelor de control şi de distribuţie a electricităţii";;"27"
"272";"Fabricarea de acumulatori şi baterii";;"27"
"273";"Fabricarea de fire şi cabluri; fabricarea dispozitivelor de conexiune pentru acestea";;"27"
"274";"Fabricarea de echipamente electrice de iluminat";;"27"
"275";"Fabricarea de echipamente casnice";;"27"
"279";"Fabricarea altor echipamente electrice";;"27"
"281";"Fabricarea de maşini şi utilaje de utilizare generală";;"28"
"282";"Fabricarea altor maşini şi utilaje de utilizare generală";;"28"
"283";"Fabricarea maşinilor şi utilajelor pentru agricultură şi exploatări forestiere";;"28"
"284";"Fabricarea utilajelor pentru prelucrarea metalului şi maşinilor-unelte";;"28"
"289";"Fabricarea altor maşini şi utilaje cu destinaţie specifică";;"28"
"291";"Fabricarea autovehiculelor de transport rutier";;"29"
"292";"Producţia de caroserii pentru autovehicule; fabricarea de remorci şi semiremorci";;"29"
"293";"Producţia de piese şi accesorii pentru autovehicule şi pentru motoare de autovehicule";;"29"
"301";"Construcţia de nave şi bărci";;"30"
"302";"Fabricarea materialului rulant";;"30"
"303";"Fabricarea de aeronave şi nave spaţiale";;"30"
"304";"Fabricarea vehiculelor militare de luptă";;"30"
"309";"Fabricarea altor echipamente de transport n.c.a.";;"30"
"310";"Fabricarea de mobilă";;"31"
"321";"Fabricarea bijuteriilor, imitaţiilor de bijuterii şi articolelor similare";;"32"
"322";"Fabricarea instrumentelor muzicale";;"32"
"323";"Fabricarea articolelor pentru sport";;"32"
"324";"Fabricarea jocurilor şi jucăriilor";;"32"
"325";"Producţia de dispozitive, aparate şi instrumente medicale şi stomatologice";;"32"
"329";"Alte activităţi industriale";;"32"
"331";"Repararea articolelor fabricate din metal, repararea maşinilor şi echipamentelor";;"33"
"332";"Instalarea maşinilor şi echipamentelor industriale";;"33"
"351";"Producţia, transportul şi distribuţia energiei electrice";;"35"
"352";"Producţia gazelor; distribuţia combustibililor gazoşi prin conducte";;"35"
"353";"Furnizarea de abur şi aer condiţionat";;"35"
"360";"Captarea, tratarea şi distribuţia apei";;"36"
"370";"Colectarea şi epurarea apelor uzate";;"37"
"381";"Colectarea deşeurilor";;"38"
"382";"Tratarea şi eliminarea deşeurilor";;"38"
"383";"Recuperare a materialelor reciclabile";;"38"
"390";"Activităţi şi servicii de decontaminare";;"39"
"411";"Dezvoltare (promovare) imobiliară";;"41"
