diviziune,grupa,clasa,denumire,nivel
1,,,"Agricultura, vanatoare si servicii anexe",1
1,11,,Cultivarea plantelor nepermanente,2
1,11,111,"Cultivarea cerealelor (excluzand orezul), plantelor leguminoase si a plantelor oleaginoase",3
1,11,112,Cultivarea orezului,3
1,11,113,"Cultivarea legumelor si a pepenilor, a radacinoaselor si tuberculiferelor",3
1,11,114,Cultivarea trestiei de zahar,3
1,11,115,Cultivarea tutunului,3
1,11,116,Cultivarea plantelor pentru fibre textile,3
1,11,119,Cultivarea altor plante din culturi nepermanente,3
1,12,,Cultivarea plantelor din culturi permanente,2
1,12,121,Cultivarea strugurilor,3
1,12,122,Cultivarea fructelor tropicale si subtropicale,3
1,12,123,Cultivarea fructelor citrice,3
1,12,124,Cultivarea fructelor semintoase si samburoase,3
1,12,125,"Cultivarea altor pomi fructiferi, a arbustilor fructiferi, capsunilor si a nuciferelor",3
1,12,126,Cultivarea fructelor oleaginoase,3
1,12,127,Cultivarea plantelor pentru prepararea bauturilor,3
1,12,128,"Cultivarea condimentelor, plantelor aromatice, medicinale si a plantelor de uz farmaceutic",3
1,12,129,Cultivarea altor plante permanente,3
1,13,,Cultivarea plantelor pentru inmultire,2
1,13,130,Cultivarea plantelor pentru inmultire,3
1,14,,Cresterea animalelor,2
1,14,141,Cresterea bovinelor de lapte,3
1,14,142,Cresterea altor bovine,3
1,14,143,Cresterea cailor si a altor cabaline,3
1,14,144,Cresterea camilelor si a camelidelor,3
1,14,145,Cresterea ovinelor si caprinelor,3
1,14,146,Cresterea porcinelor,3
1,14,147,Cresterea pasarilor,3
1,14,148,Cresterea altor animale,3
1,15,,Activitati in ferme mixte (cultura vegetala combinata cu cresterea animalelor),2
1,15,150,Activitati in ferme mixte (cultura vegetala combinata cu cresterea animalelor),3
1,16,,Activitati auxiliare agriculturii si activitati dupa recoltare,2
1,16,161,Activitati auxiliare pentru productia vegetala,3
1,16,162,Activitati auxiliare pentru cresterea animalelor,3
1,16,163,Activitati dupa recoltare si pregatirea semintelor 1 1,3
1,17,,"Vanatoare, capturarea cu capcane a vanatului si activitati de servicii anexe vanatorii",2
1,17,170,"Vanatoare, capturarea cu capcane a vanatului si activitati de servicii anexe vanatorii 02 Silvicultura si exploatare forestiera",3
1,21,,Silvicultura si alte activitati forestiere,2
1,21,210,Silvicultura si alte activitati forestiere,3
1,22,,Exploatarea forestiera,2
1,22,220,Exploatarea forestiera,3
1,23,,Colectarea produselor forestiere nelemnoase din flora spontana,2
1,23,230,Colectarea produselor forestiere nelemnoase din flora spontana,3
1,24,,Activitati de servicii anexe silviculturii,2
1,24,240,Activitati de servicii anexe silviculturii 03 Pescuitul si acvacultura,3
1,31,,Pescuitul,2
1,31,311,Pescuitul maritim,3
1,31,312,Pescuitul in ape dulci,3
1,32,,Acvacultura,2
1,32,321,Acvacultura maritima,3
1,32,322,Acvacultura in ape dulci,3
1,33,,Activitati anexe pescuitului si acvaculturii,2
1,33,330,Activitati anexe pescuitului si acvaculturii SECTIUNEA B - INDUSTRIA EXTRACTIVA 05 Extractia carbunelui superior si inferior,3
1,51,,Extractia carbunelui superior (PCS=>23865 kJ/kg),2
1,51,510,Extractia carbunelui superior (PCS=>23865 kJ/kg),3
